"Address","Indexability","Indexability Status","Crawl Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks"
"https://www.powerworksgarage.com/","Non-Indexable","Canonicalised","1","","1773","445","0","100.000","116","52","0","9","4","0"
"https://www.powerworksgarage.com/makes","Non-Indexable","Canonicalised","2","","489","444","0","99.780","93","45","0","7","3","0"
"https://www.powerworksgarage.com/car-servicing-dubai/transmission-repair-dubai","Non-Indexable","Canonicalised","2","","949","445","0","100.000","101","71","0","9","3","0"
"https://www.powerworksgarage.com/car-servicing-dubai/car-service-dubai","Non-Indexable","Canonicalised","2","","990","445","0","100.000","102","71","0","9","3","0"
"https://www.powerworksgarage.com/makes/infiniti","Non-Indexable","Canonicalised","2","","464","444","0","99.780","76","45","0","8","3","0"
"https://www.powerworksgarage.com/makes/range-rover","Non-Indexable","Canonicalised","2","","464","444","0","99.780","76","45","0","8","3","0"
"https://www.powerworksgarage.com/reviews","Non-Indexable","Canonicalised","2","","908","445","0","100.000","68","45","0","9","5","0"
"https://www.powerworksgarage.com/car-servicing-dubai/oil-change-dubai","Non-Indexable","Canonicalised","2","","979","445","0","100.000","101","71","0","9","3","0"
"https://www.powerworksgarage.com/ask-glenn/why-dubai-summers-kill-car-batteries","Non-Indexable","Canonicalised","2","","10","8","0","1.800","79","53","0","9","3","0"
"https://www.powerworksgarage.com/makes/gmc","Non-Indexable","Canonicalised","2","","464","444","0","99.780","76","45","0","8","3","0"
"https://www.powerworksgarage.com/makes/jaguar","Non-Indexable","Canonicalised","2","","464","444","0","99.780","76","45","0","8","3","0"
"https://www.powerworksgarage.com/car-servicing-dubai/ac-repair-dubai","Non-Indexable","Canonicalised","2","","977","445","0","100.000","102","71","0","9","3","0"
"https://www.powerworksgarage.com/makes/chevrolet","Non-Indexable","Canonicalised","2","","464","444","0","99.780","76","45","0","8","3","0"
"https://www.powerworksgarage.com/ask-glenn/warning-signs-cooling-system-failing","Non-Indexable","Canonicalised","2","","5","3","0","0.670","79","53","0","9","3","0"
"https://www.powerworksgarage.com/car-servicing-dubai/engine-repair-dubai","Non-Indexable","Canonicalised","2","","956","445","0","100.000","102","71","0","9","3","0"
"https://www.powerworksgarage.com/contact","Non-Indexable","Canonicalised","2","","892","445","0","100.000","37","18","0","6","3","0"
"https://www.powerworksgarage.com/car-servicing-dubai/suspension-repair-dubai","Non-Indexable","Canonicalised","2","","976","445","0","100.000","101","71","0","9","3","0"
"https://www.powerworksgarage.com/makes/rolls-royce","Non-Indexable","Canonicalised","2","","464","444","0","99.780","76","45","0","8","3","0"
"https://www.powerworksgarage.com/makes/toyota","Non-Indexable","Canonicalised","2","","464","444","0","99.780","76","45","0","8","3","0"
"https://www.powerworksgarage.com/car-servicing-dubai","Non-Indexable","Canonicalised","2","","1324","445","0","100.000","83","49","0","7","3","0"
"https://www.powerworksgarage.com/makes/ford","Non-Indexable","Canonicalised","2","","464","444","0","99.780","76","45","0","8","3","0"
"https://www.powerworksgarage.com/car-servicing-dubai/battery-replacement-dubai","Non-Indexable","Canonicalised","2","","951","445","0","100.000","101","71","0","9","3","0"
"https://www.powerworksgarage.com/car-servicing-dubai/tyre-replacement-dubai","Non-Indexable","Canonicalised","2","","951","445","0","100.000","102","71","0","9","3","0"
"https://www.powerworksgarage.com/car-servicing-dubai/electrical-diagnostics-dubai","Non-Indexable","Canonicalised","2","","982","445","0","100.000","102","71","0","9","3","0"
"https://www.powerworksgarage.com/makes/audi","Non-Indexable","Canonicalised","2","","464","444","0","99.780","76","45","0","8","3","0"
"https://www.powerworksgarage.com/makes/ferrari","Non-Indexable","Canonicalised","2","","464","444","0","99.780","76","45","0","8","3","0"
"https://www.powerworksgarage.com/makes/mercedes","Non-Indexable","Canonicalised","2","","464","444","0","99.780","76","45","0","8","3","0"
"https://www.powerworksgarage.com/ask-glenn/should-you-buy-used-european-car-dubai","Non-Indexable","Canonicalised","2","","10","8","0","1.800","79","54","0","9","3","0"
"https://www.powerworksgarage.com/ask-glenn/10000km-service-myth","Non-Indexable","Canonicalised","2","","9","7","0","1.570","79","53","0","9","3","0"
"https://www.powerworksgarage.com/makes/volkswagen","Non-Indexable","Canonicalised","2","","464","444","0","99.780","76","45","0","8","3","0"
"https://www.powerworksgarage.com/ask-glenn/ac-blowing-warm-not-always-gas","Non-Indexable","Canonicalised","2","","10","8","0","1.800","80","54","0","9","3","0"
"https://www.powerworksgarage.com/about","Non-Indexable","Canonicalised","2","","893","445","0","100.000","68","45","0","7","3","0"
"https://www.powerworksgarage.com/ask-glenn/truth-about-lifetime-transmission-fluid","Non-Indexable","Canonicalised","2","","10","8","0","1.800","79","53","0","9","3","0"
"https://www.powerworksgarage.com/makes/porsche","Non-Indexable","Canonicalised","2","","464","444","0","99.780","76","45","0","8","3","0"
"https://www.powerworksgarage.com/makes/lexus","Non-Indexable","Canonicalised","2","","464","444","0","99.780","76","45","0","8","3","0"
"https://www.powerworksgarage.com/makes/maserati","Non-Indexable","Canonicalised","2","","464","444","0","99.780","76","45","0","8","3","0"
"https://www.powerworksgarage.com/makes/bentley","Non-Indexable","Canonicalised","2","","464","444","0","99.780","76","45","0","8","3","0"
"https://www.powerworksgarage.com/ask-glenn","Non-Indexable","Canonicalised","2","","920","445","0","100.000","73","51","0","10","3","0"
"https://www.powerworksgarage.com/fleet-service-dubai","Non-Indexable","Canonicalised","2","","894","445","0","100.000","67","45","0","7","3","0"
"https://www.powerworksgarage.com/makes/lamborghini","Non-Indexable","Canonicalised","2","","464","444","0","99.780","76","45","0","8","3","0"
"https://www.powerworksgarage.com/makes/dodge","Non-Indexable","Canonicalised","2","","464","444","0","99.780","76","45","0","8","3","0"
"https://www.powerworksgarage.com/makes/aston-martin","Non-Indexable","Canonicalised","2","","464","444","0","99.780","76","45","0","8","3","0"
"https://www.powerworksgarage.com/makes/honda","Non-Indexable","Canonicalised","2","","464","444","0","99.780","76","45","0","8","3","0"
"https://www.powerworksgarage.com/makes/bmw","Non-Indexable","Canonicalised","2","","464","444","0","99.780","76","45","0","8","3","0"
